experiment,model,mean_acc,std_acc,mean_macro_f1,std_macro_f1,n
MLP_fixed_epochs,mlp,0.9510261123315699,0.049076021790007196,0.9486204345083128,0.0562619244179905,30
MLP_k2_val_accuracy,mlp,0.9463975943119699,0.04862607306684185,0.9447610890026683,0.054176347153148896,30
MLP_single_val_loss,mlp,0.9389787137318812,0.055316620217184656,0.9371638855961799,0.060000636554375576,30
