test_subject,experiment,model,test_acc,test_macro_f1,val_subjects,best_epoch,stop_strategy,units,dropout,lr,epochs,batch,cv_acc,best_params
8,MLP_fixed_epochs,mlp,0.9252669039145908,0.9263598639446545,[9],40,none,64,0.2,0.001,40,128,0.9417001942456449,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
9,MLP_single_val_loss,mlp,0.9166666666666666,0.9153612920642408,[8],9,val_loss,64,0.2,0.001,40,128,0.9352095108006228,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
9,MLP_k2_val_accuracy,mlp,0.9097222222222222,0.9089467419698757,"[8, 18]",16,val_accuracy,64,0.2,0.001,40,128,0.9352095108006228,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
9,MLP_fixed_epochs,mlp,0.9340277777777778,0.9322871186916871,[8],40,none,64,0.2,0.001,40,128,0.9352095108006228,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
10,MLP_single_val_loss,mlp,0.8231292517006803,0.8331362186786829,[8],10,val_loss,64,0.2,0.001,40,128,0.935241690830202,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
10,MLP_k2_val_accuracy,mlp,0.8605442176870748,0.8620150565715883,"[8, 18]",21,val_accuracy,64,0.2,0.001,40,128,0.935241690830202,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
10,MLP_fixed_epochs,mlp,0.8639455782312925,0.8678957397579251,[8],40,none,64,0.2,0.001,40,128,0.935241690830202,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
11,MLP_single_val_loss,mlp,0.9968354430379747,0.9966583124477862,[8],9,val_loss,64,0.2,0.001,40,128,0.9392629678264979,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
11,MLP_k2_val_accuracy,mlp,0.9936708860759493,0.9937136937136938,"[8, 18]",19,val_accuracy,64,0.2,0.001,40,128,0.9392629678264979,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
11,MLP_fixed_epochs,mlp,1.0,1.0,[8],40,none,64,0.2,0.001,40,128,0.9392629678264979,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
12,MLP_single_val_loss,mlp,0.978125,0.9782952169544913,[8],18,val_loss,128,0.4,0.001,40,128,0.9358316804734338,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
12,MLP_k2_val_accuracy,mlp,0.978125,0.9778907331787471,"[8, 18]",9,val_accuracy,128,0.4,0.001,40,128,0.9358316804734338,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
12,MLP_fixed_epochs,mlp,0.984375,0.9834339029720515,[8],40,none,128,0.4,0.001,40,128,0.9358316804734338,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
13,MLP_single_val_loss,mlp,0.9571865443425076,0.9539715890172555,[8],4,val_loss,128,0.4,0.001,40,128,0.9358745773932173,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
13,MLP_k2_val_accuracy,mlp,0.9908256880733946,0.9902319902319903,"[8, 18]",23,val_accuracy,128,0.4,0.001,40,128,0.9358745773932173,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
13,MLP_fixed_epochs,mlp,0.9785932721712538,0.9769481650359393,[8],40,none,128,0.4,0.001,40,128,0.9358745773932173,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
14,MLP_single_val_loss,mlp,0.7739938080495357,0.732468774572068,[8],12,val_loss,64,0.2,0.001,40,128,0.9545327503544964,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
14,MLP_k2_val_accuracy,mlp,0.8018575851393189,0.7597395221172057,"[8, 18]",21,val_accuracy,64,0.2,0.001,40,128,0.9545327503544964,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
14,MLP_fixed_epochs,mlp,0.7832817337461301,0.7436706010939069,[8],40,none,64,0.2,0.001,40,128,0.9545327503544964,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
15,MLP_single_val_loss,mlp,0.9969512195121951,0.9970178661767447,[8],15,val_loss,128,0.4,0.001,40,128,0.9372260252364409,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
15,MLP_k2_val_accuracy,mlp,0.9878048780487805,0.9866084188718593,"[8, 18]",4,val_accuracy,128,0.4,0.001,40,128,0.9372260252364409,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
15,MLP_fixed_epochs,mlp,0.9939024390243902,0.9940400170285227,[8],40,none,128,0.4,0.001,40,128,0.9372260252364409,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
16,MLP_single_val_loss,mlp,0.8797814207650273,0.8972550514677851,[8],5,val_loss,64,0.2,0.001,40,128,0.9297365715852718,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
16,MLP_k2_val_accuracy,mlp,0.8743169398907104,0.8940255611439542,"[8, 18]",8,val_accuracy,64,0.2,0.001,40,128,0.9297365715852718,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
16,MLP_fixed_epochs,mlp,0.8989071038251366,0.9133903406105194,[8],40,none,64,0.2,0.001,40,128,0.9297365715852718,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
17,MLP_single_val_loss,mlp,0.9782608695652174,0.9796541618488314,[8],4,val_loss,64,0.2,0.001,40,128,0.9462393630007092,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
17,MLP_k2_val_accuracy,mlp,0.9728260869565217,0.975835545572119,"[8, 18]",19,val_accuracy,64,0.2,0.001,40,128,0.9462393630007092,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
17,MLP_fixed_epochs,mlp,0.9755434782608695,0.9751377416089851,[8],40,none,64,0.2,0.001,40,128,0.9462393630007092,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
18,MLP_single_val_loss,mlp,0.9642857142857143,0.9608316337972336,[8],13,val_loss,128,0.4,0.001,40,128,0.9330495227824236,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
18,MLP_k2_val_accuracy,mlp,0.9368131868131868,0.9330239413137006,"[8, 17]",10,val_accuracy,128,0.4,0.001,40,128,0.9330495227824236,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
18,MLP_fixed_epochs,mlp,0.9697802197802198,0.9670457859434238,[8],40,none,128,0.4,0.001,40,128,0.9330495227824236,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
19,MLP_single_val_loss,mlp,0.8944444444444445,0.8892686576754746,[8],16,val_loss,64,0.2,0.001,40,128,0.9441755368073221,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
19,MLP_k2_val_accuracy,mlp,0.9222222222222223,0.9221093170046624,"[8, 17]",15,val_accuracy,64,0.2,0.001,40,128,0.9441755368073221,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
19,MLP_fixed_epochs,mlp,0.9361111111111111,0.9283646447957382,[8],40,none,64,0.2,0.001,40,128,0.9441755368073221,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
20,MLP_single_val_loss,mlp,0.9152542372881356,0.9041252874019637,[8],8,val_loss,128,0.4,0.001,40,128,0.9323154558633299,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
20,MLP_k2_val_accuracy,mlp,0.9096045197740112,0.8997140337866144,"[8, 17]",17,val_accuracy,128,0.4,0.001,40,128,0.9323154558633299,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
20,MLP_fixed_epochs,mlp,0.9152542372881356,0.8965198996265172,[8],40,none,128,0.4,0.001,40,128,0.9323154558633299,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
21,MLP_single_val_loss,mlp,0.9019607843137255,0.9181369089625971,[8],14,val_loss,128,0.4,0.001,40,128,0.9361781928666852,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
21,MLP_k2_val_accuracy,mlp,0.946078431372549,0.9570370370370371,"[8, 17]",4,val_accuracy,128,0.4,0.001,40,128,0.9361781928666852,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
21,MLP_fixed_epochs,mlp,0.9607843137254902,0.9690872751499001,[8],40,none,128,0.4,0.001,40,128,0.9361781928666852,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
22,MLP_single_val_loss,mlp,0.9688473520249221,0.9622463894597487,[8],5,val_loss,128,0.4,0.001,40,128,0.9344769738063547,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
22,MLP_k2_val_accuracy,mlp,0.9719626168224299,0.9649152830991911,"[8, 17]",14,val_accuracy,128,0.4,0.001,40,128,0.9344769738063547,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
22,MLP_fixed_epochs,mlp,0.9937694704049844,0.993041513340514,[8],40,none,128,0.4,0.001,40,128,0.9344769738063547,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
23,MLP_single_val_loss,mlp,0.956989247311828,0.9590003871322126,[8],4,val_loss,128,0.4,0.001,40,128,0.9423635809752974,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
23,MLP_k2_val_accuracy,mlp,0.9758064516129032,0.9759218784127027,"[8, 17]",8,val_accuracy,128,0.4,0.001,40,128,0.9423635809752974,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
23,MLP_fixed_epochs,mlp,0.9704301075268817,0.9694346057982423,[8],40,none,128,0.4,0.001,40,128,0.9423635809752974,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
24,MLP_single_val_loss,mlp,0.9868766404199475,0.9863829674423444,[8],9,val_loss,64,0.2,0.001,40,128,0.9437317565893673,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
24,MLP_k2_val_accuracy,mlp,0.9921259842519685,0.9926991739941381,"[8, 17]",25,val_accuracy,64,0.2,0.001,40,128,0.9437317565893673,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
24,MLP_fixed_epochs,mlp,0.9868766404199475,0.9869235383732556,[8],40,none,64,0.2,0.001,40,128,0.9437317565893673,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
25,MLP_single_val_loss,mlp,0.9168704156479217,0.9082411962464197,[8],8,val_loss,128,0.4,0.001,40,128,0.9405371477540919,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
25,MLP_k2_val_accuracy,mlp,0.9168704156479217,0.9108933373639255,"[8, 17]",17,val_accuracy,128,0.4,0.001,40,128,0.9405371477540919,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
25,MLP_fixed_epochs,mlp,0.9633251833740831,0.9633407980998276,[8],40,none,128,0.4,0.001,40,128,0.9405371477540919,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
26,MLP_single_val_loss,mlp,0.9693877551020408,0.9687490291755267,[8],13,val_loss,64,0.2,0.001,40,128,0.9397672894052743,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
26,MLP_k2_val_accuracy,mlp,0.9846938775510204,0.9848493100944081,"[8, 17]",13,val_accuracy,64,0.2,0.001,40,128,0.9397672894052743,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
26,MLP_fixed_epochs,mlp,0.9795918367346939,0.9804305133634048,[8],40,none,64,0.2,0.001,40,128,0.9397672894052743,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
27,MLP_single_val_loss,mlp,0.9787234042553191,0.982209571250667,[8],16,val_loss,128,0.4,0.001,40,128,0.9281892002654853,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
27,MLP_k2_val_accuracy,mlp,0.976063829787234,0.9799919967987195,"[8, 17]",13,val_accuracy,128,0.4,0.001,40,128,0.9281892002654853,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
27,MLP_fixed_epochs,mlp,0.9867021276595744,0.9888646385461671,[8],40,none,128,0.4,0.001,40,128,0.9281892002654853,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
28,MLP_single_val_loss,mlp,0.9031413612565445,0.9113313719711379,[8],8,val_loss,64,0.2,0.001,40,128,0.9403755946870033,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
28,MLP_k2_val_accuracy,mlp,0.9476439790575916,0.9543916878095929,"[8, 17]",31,val_accuracy,64,0.2,0.001,40,128,0.9403755946870033,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
28,MLP_fixed_epochs,mlp,0.93717277486911,0.9432252025277079,[8],40,none,64,0.2,0.001,40,128,0.9403755946870033,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
29,MLP_single_val_loss,mlp,0.9534883720930233,0.9571109967404358,[8],5,val_loss,64,0.2,0.001,40,128,0.930769977358338,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
29,MLP_k2_val_accuracy,mlp,0.9622093023255814,0.9651907546644388,"[8, 17]",11,val_accuracy,64,0.2,0.001,40,128,0.930769977358338,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
29,MLP_fixed_epochs,mlp,0.9622093023255814,0.9651907546644388,[8],40,none,64,0.2,0.001,40,128,0.930769977358338,"{'units': 64, 'dropout': 0.2, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
30,MLP_single_val_loss,mlp,0.9947780678851175,0.9944869691999271,[8],10,val_loss,128,0.4,0.001,40,128,0.9412015470692497,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
30,MLP_k2_val_accuracy,mlp,0.9921671018276762,0.9917264957264957,"[8, 17]",10,val_accuracy,128,0.4,0.001,40,128,0.9412015470692497,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
30,MLP_fixed_epochs,mlp,0.9947780678851175,0.9944869691999271,[8],40,none,128,0.4,0.001,40,128,0.9412015470692497,"{'units': 128, 'dropout': 0.4, 'lr': 0.001, 'epochs': 40, 'batch': 128}"
